airline_name,departure_time,arrival_time,departure_terminal,arrival_terminal,Way_Of_Travel,Time in Hours,number_days_added,Trip_Type,free_checked_baggage,limited_tickets_remaining?,Price,number_of_airlines
Singapore Airlines,2025-06-25 23:30:00,2025-06-26 06:30:00,SIN T3,MXP T1,Direct,13h,+1,Return,Checked baggage 25 kg,,$1598,Singular Airline
"China Eastern Airlines ,China Eastern Airlines      Transfer in Shanghai 7h",2025-06-25 00:55:00,2025-06-25 19:35:00,SIN T3,MXP T1,7h in Shanghai,24h 40m,,Return,Checked baggage 23 kg,,$917,Multiple Airlines
"China Eastern Airlines ,China Eastern Airlines      Transfer in Xi'an 17h 50m",2025-06-25 14:20:00,2025-06-26 20:00:00,SIN T3,MXP T1,17h 50m in Xi'an,35h 40m,+1,Return,Checked baggage 23 kg,,$917,Multiple Airlines
"Air China ,Air China      Transfer in Shanghai 2h 15m",2025-06-25 17:30:00,2025-06-26 08:05:00,SIN T1,MXP T1,2h 15m in Shanghai,20h 35m,+1,Return,Checked baggage 2 x 23 kg,,$921,Multiple Airlines
"China Eastern Airlines ,China Eastern Airlines      Transfer in Shanghai 8h 40m",2025-06-25 23:10:00,2025-06-26 19:35:00,SIN T3,MXP T1,8h 40m in Shanghai,26h 25m,+1,Return,Checked baggage 23 kg,,$946,Multiple Airlines
"China Eastern Airlines ,China Eastern Airlines      Transfer in Shanghai 13h",2025-06-25 18:10:00,2025-06-26 19:35:00,SIN T3,MXP T1,13h in Shanghai,31h 25m,+1,Return,Checked baggage 23 kg,,$946,Multiple Airlines
"China Eastern Airlines ,China Eastern Airlines      Transfer in Shanghai 15h 15m",2025-06-25 16:35:00,2025-06-26 19:35:00,SIN T3,MXP T1,15h 15m in Shanghai,33h,+1,Return,Checked baggage 23 kg,,$946,Multiple Airlines
"China Eastern Airlines ,China Eastern Airlines      Transfer in Shanghai 21h 45m",2025-06-25 10:10:00,2025-06-26 19:35:00,SIN T3,MXP T1,21h 45m in Shanghai,39h 25m,+1,Return,Checked baggage 23 kg,,$946,Multiple Airlines
"Air China ,Air China      Transfer in Beijing 10h 15m",2025-06-25 09:00:00,2025-06-26 06:30:00,SIN T1,MXP T1,10h 15m in Beijing,27h 30m,+1,Return,Checked baggage 2 x 23 kg,,$951,Multiple Airlines
"Etihad Airways ,Etihad Airways      Transfer in Abu Dhabi 13h 35m",2025-06-25 21:10:00,2025-06-26 18:40:00,SIN T2,MXP T1,13h 35m in Abu Dhabi,27h 30m,+1,Return,,,$1022,Multiple Airlines
"Etihad Airways ,Etihad Airways      Transfer in Abu Dhabi 1h 40m",2025-06-25 21:10:00,2025-06-26 06:45:00,SIN T2,MXP T1,1h 40m in Abu Dhabi,15h 35m,+1,Return,,,$1082,Multiple Airlines
"Emirates ,Emirates      Transfer in Dubai 5h 20m",2025-06-25 00:50:00,2025-06-25 14:10:00,SIN T1,MXP T1,5h 20m in Dubai,19h 20m,,Return,Checked baggage 25 kg,,$1104,Multiple Airlines
"Emirates ,Emirates      Transfer in Dubai 9h 15m",2025-06-25 21:00:00,2025-06-26 14:10:00,SIN T1,MXP T1,9h 15m in Dubai,23h 10m,+1,Return,Checked baggage 25 kg,,$1104,Multiple Airlines
"Emirates ,Emirates      Transfer in Dubai 10h 40m",2025-06-25 01:40:00,2025-06-25 20:20:00,SIN T1,MXP T1,10h 40m in Dubai,24h 40m,,Return,Checked baggage 25 kg,,$1104,Multiple Airlines
"Emirates ,Emirates      Transfer in Dubai 11h 20m",2025-06-25 00:50:00,2025-06-25 20:20:00,SIN T1,MXP T1,11h 20m in Dubai,25h 30m,,Return,Checked baggage 25 kg,,$1104,Multiple Airlines
"Emirates ,Emirates      Transfer in Dubai 15h 15m",2025-06-25 21:00:00,2025-06-26 20:20:00,SIN T1,MXP T1,15h 15m in Dubai,29h 20m,+1,Return,Checked baggage 25 kg,,$1104,Multiple Airlines
"Emirates ,Emirates      Transfer in Dubai 19h 40m",2025-06-25 10:35:00,2025-06-26 14:10:00,SIN T1,MXP T1,19h 40m in Dubai,33h 35m,+1,Return,Checked baggage 25 kg,,$1104,Multiple Airlines
"Air India ,Air India      Transfer in New Delhi 10h 50m",2025-06-25 23:00:00,2025-06-26 19:40:00,SIN T2,MXP T1,10h 50m in New Delhi,26h 40m,+1,Return,Checked baggage 23 kg,,$1106,Multiple Airlines
"Qatar Airways ,Qatar Airways      Transfer in Doha 13h",2025-06-25 10:30:00,2025-06-26 07:10:00,SIN T1,MXP T1,13h in Doha,26h 40m,+1,Return,Checked baggage 25 kg,,$1165,Multiple Airlines
"Qatar Airways ,Qatar Airways      Transfer in Doha 20h 20m",2025-06-25 03:10:00,2025-06-26 07:10:00,SIN T1,MXP T1,20h 20m in Doha,34h,+1,Return,Checked baggage 25 kg,,$1165,Multiple Airlines
"Emirates ,Emirates Operated by Flydubai     Transfer in Dubai 2h 30m",2025-06-25 01:40:00,2025-06-25 12:10:00,SIN T1,BGY,2h 30m in Dubai,16h 30m,,Return,Checked baggage 25 kg,,$1186,Multiple Airlines
"Emirates ,Emirates Operated by Flydubai     Transfer in Dubai 3h 10m",2025-06-25 00:50:00,2025-06-25 12:10:00,SIN T1,BGY,3h 10m in Dubai,17h 20m,,Return,Checked baggage 25 kg,,$1186,Multiple Airlines
"Emirates ,Emirates Operated by Flydubai     Transfer in Dubai 7h 5m",2025-06-25 21:00:00,2025-06-26 12:10:00,SIN T1,BGY,7h 5m in Dubai,21h 10m,+1,Return,Checked baggage 25 kg,,$1186,Multiple Airlines
"KLM Royal Dutch Airlines ,KLM Royal Dutch Airlines      Transfer in Amsterdam 6h 20m",2025-06-25 00:40:00,2025-06-25 15:55:00,SIN T1,LIN,6h 20m in Amsterdam,21h 15m,,Return,,,$1576,Multiple Airlines
